X,Y,OBJECTID,NAME,ACCESSIBILITY,NETWORK,DATASET_LAST_UPDATED,FULL_NAME
537495.0331,180585.9209,340,WEST INDIA QUAY - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,WEST INDIA QUAY - DLR station
537023.0143,180797.926000001,341,WESTFERRY - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,WESTFERRY - DLR station
532708.948,181113.9647,342,BANK - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,BANK - DLR station
538571.0803,184386.996400001,343,STRATFORD - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,STRATFORD - DLR station
539145.0907,182114.910599999,344,STAR LANE - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,STAR LANE - DLR station
539077.1005,183398.9592,345,ABBEY ROAD - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,ABBEY ROAD - DLR station
538128.0559,184761.007200001,346,STRATFORD INTERNATIONAL - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,STRATFORD INTERNATIONAL - DLR station
542076.8908,180815.051200001,357,ROYAL ALBERT - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,ROYAL ALBERT - DLR station
540121.8802,180852.069700001,358,ROYAL VICTORIA - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,ROYAL VICTORIA - DLR station
540459.8903,180156.0755,359,WEST SILVERTOWN - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,WEST SILVERTOWN - DLR station
537979.0484,180992.9202,360,ALL SAINTS - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,ALL SAINTS - DLR station
538398.0637,180663.923900001,361,BLACKWALL - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,BLACKWALL - DLR station
537393.0253,182828.976600001,362,BOW CHURCH - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,BOW CHURCH - DLR station
537450.0304,180321.9254,363,CANARY WHARF - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,CANARY WHARF - DLR station
539443.1018,181353.9134,364,CANNING TOWN - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,CANNING TOWN - DLR station
538206.0508,177732.873299999,365,CUTTY SARK - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,CUTTY SARK - DLR station
537438.0157,176891.869100001,366,DEPTFORD BRIDGE - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,DEPTFORD BRIDGE - DLR station
537639.0331,182256.9388,367,DEVONS ROAD - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,DEVONS ROAD - DLR station
538732.0761,180830.9153,368,EAST INDIA - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,EAST INDIA - DLR station
538052.0391,177333.8618,369,GREENWICH - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,GREENWICH - DLR station
537421.0315,180121.921499999,370,HERON QUAYS - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,HERON QUAYS - DLR station
538227.0537,178443.888499999,371,ISLAND GARDENS - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,ISLAND GARDENS - DLR station
537894.0373,181441.922,372,LANGDON PARK - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,LANGDON PARK - DLR station
536126.9942,181085.9593,373,LIMEHOUSE - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,LIMEHOUSE - DLR station
537904.0384,178749.9037,374,MUDCHUTE - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,MUDCHUTE - DLR station
537701.034,180616.921,375,POPLAR - DLR,Fully Accessible,DLR,2021/09/23 10:00:20+00,POPLAR - DLR station
