X,Y,OBJECTID,NAME,LINES,ATCOCODE,MODES,ACCESSIBILITY,NIGHT_TUBE,NETWORK,DATASET_LAST_UPDATED,FULL_NAME
532108.3512,181274.1885,111,St. Paul's,Central,940GZZLUSPU,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,St. Paul's station
536500.7831,182534.4935,112,Mile End,"District, Hammersmith & City, Central",940GZZLUMED,"bus, tube",Partially Accessible - Interchange Only,Yes,London Underground,2021/11/29 00:00:00+00,Mile End station
535043.5417,182718.410700001,113,Bethnal Green,Central,940GZZLUBLG,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Bethnal Green station
538367.4374,186075.853599999,114,Leyton,Central,940GZZLULYN,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Leyton station
540156.7713,188804.041300001,115,Snaresbrook,Central,940GZZLUSNB,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Snaresbrook station
539279.2763,187404.735400001,116,Leytonstone,Central,940GZZLULYS,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Leytonstone station
540673.1526,188253.507300001,117,Wanstead,Central,940GZZLUWSD,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Wanstead station
540535.7362,190062.669600001,118,South Woodford,Central,940GZZLUSWF,"bus, tube",Partially Accessible,Yes,London Underground,2021/11/29 00:00:00+00,South Woodford station
544920.2921,188384.718599999,119,Newbury Park,Central,940GZZLUNBP,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Newbury Park station
544798.7557,189493.9487,120,Barkingside,Central,940GZZLUBKE,"tube, bus",Partially Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Barkingside station
544935.5979,190594.5734,121,Fairlop,Central,940GZZLUFLP,tube,Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Fairlop station
540949.981,191740.0184,122,Woodford,Central,940GZZLUWOF,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Woodford station
541589.7031,192894.9639,123,Roding Valley,Central,940GZZLURVY,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Roding Valley station
