scenario,rank,lat,lon,score
"α=0.3, β=0.7",1,51.2907004297255,0.0960835073972738,0.9372893079826248
"α=0.3, β=0.7",2,51.29095615674101,0.0817523546481855,0.9336781066426247
"α=0.3, β=0.7",3,51.29121013094785,0.0674210116596412,0.930045238749811
"α=0.3, β=0.7",4,51.29968658884018,0.0964932022857263,0.9266608872569527
"α=0.3, β=0.7",5,51.29994239770424,0.0821592626713063,0.9228874098643884
"α=0.4, β=0.6",1,51.2907004297255,0.0960835073972738,0.916385743976833
"α=0.4, β=0.6",2,51.29095615674101,0.0817523546481855,0.911570808856833
"α=0.4, β=0.6",3,51.29121013094785,0.0674210116596412,0.9067269849997482
"α=0.4, β=0.6",4,51.29968658884018,0.0964932022857263,0.9022145163426036
"α=0.4, β=0.6",5,51.29994239770424,0.0821592626713063,0.897183213152518
"α=0.5, β=0.5",1,51.28721623913957,0.2823672669034964,0.9
"α=0.5, β=0.5",2,51.2907004297255,0.0960835073972738,0.8954821799710413
"α=0.5, β=0.5",3,51.29095615674101,0.0817523546481855,0.8894635110710412
"α=0.5, β=0.5",4,51.28749475966872,0.2680390179345798,0.8892507528439109
"α=0.5, β=0.5",5,51.29620101061692,0.2828129169540065,0.8843155007947283
"α=0.6, β=0.4",1,51.28721623913957,0.2823672669034964,0.92
"α=0.6, β=0.4",2,51.28749475966872,0.2680390179345798,0.9071009034126931
"α=0.6, β=0.4",3,51.29620101061692,0.2828129169540065,0.901178600953674
"α=0.6, β=0.4",4,51.28777153369604,0.2537105319242592,0.894786015098192
"α=0.6, β=0.4",5,51.2964796205904,0.2684818757474456,0.8883716658689145
"α=0.7, β=0.3",1,51.28721623913957,0.2823672669034964,0.94
"α=0.7, β=0.3",2,51.28749475966872,0.2680390179345798,0.9249510539814754
"α=0.7, β=0.3",3,51.29620101061692,0.2828129169540065,0.9180417011126196
"α=0.7, β=0.3",4,51.28777153369604,0.2537105319242592,0.910583684281224
"α=0.7, β=0.3",5,51.2964796205904,0.2684818757474456,0.9031002768470668
"α=0.8, β=0.2",1,51.28721623913957,0.2823672669034964,0.96
"α=0.8, β=0.2",2,51.28749475966872,0.2680390179345798,0.9428012045502574
"α=0.8, β=0.2",3,51.29620101061692,0.2828129169540065,0.9349048012715653
"α=0.8, β=0.2",4,51.28777153369604,0.2537105319242592,0.926381353464256
"α=0.8, β=0.2",5,51.2964796205904,0.2684818757474456,0.9178288878252192
